key,IsWinner,MMR,InGameLevel,Takedowns,KillingBlows,Assists,Deaths,HighestKillStreak,HeroDamage,SiegeDamage,Healing,SelfHealing,DamageTaken,ExperienceContribution,MercCampCaptures,date
118448224,1,10250,105,89,25,64,10,53,136135,417258,70988,0,0,67368,19,7/14/2017
118448224,0,11770,90,35,10,25,25,15,103341,392546,50770,25056,0,43682,7,7/14/2017
117790535,1,9739,130,157,38,117,29,81,300164,514550,133308,74274,116354,123960,22,7/14/2017
117790535,0,10751,130,93,28,65,39,37,270512,706229,215377,11137,150121,120042,21,7/14/2017
117363416,1,11630,110,91,23,68,7,72,222211,395032,103697,48324,83088,68378,8,7/14/2017
117363416,0,13209,105,28,7,21,23,16,219746,404402,86257,45251,69552,54295,4,7/14/2017
117459280,1,10512,105,85,22,63,9,55,153771,294472,51730,0,47175,60219,15,7/14/2017
117459280,0,11148,95,36,9,27,22,26,118842,252863,33467,0,50429,48662,9,7/14/2017
121147852,1,11412,105,84,26,57,14,68,210230,375982,136958,26217,80851,62421,9,7/14/2017
121147852,0,10999,100,43,13,30,27,18,192282,294852,57260,38810,81142,55519,5,7/14/2017
118138843,1,11389,120,104,31,73,23,45,278468,447317,98834,44726,82092,92161,19,7/14/2017
118138843,0,11342,115,59,21,38,31,31,224887,530165,109884,104651,208499,83451,8,7/14/2017
120621964,1,9610,95,60,18,42,13,45,149884,218304,62779,36502,86632,53009,13,7/14/2017
120621964,0,9352,80,43,12,31,18,39,160313,147545,61823,29229,43832,35715,3,7/14/2017
117379699,1,12550,80,74,21,53,12,47,155754,143837,63205,25744,96779,39224,4,7/14/2017
117379699,0,11903,70,44,12,32,21,19,132327,120293,55894,9818,65109,27023,0,7/14/2017
118125010,1,11533,115,153,38,115,27,63,231437,339570,44552,34245,0,87796,15,7/14/2017
118125010,0,12204,110,94,27,67,39,29,175297,351166,49697,34312,75301,73394,16,7/14/2017
118917239,1,8925,110,34,9,25,8,22,312152,506397,165608,61374,154517,63028,12,7/14/2017
118917239,0,9365,105,35,8,27,9,30,290308,510346,154779,25984,194391,59603,4,7/14/2017
117374807,1,13937,95,62,16,46,11,53,166179,192714,59899,3800,54990,52071,15,7/14/2017
117374807,0,13776,80,35,10,23,17,16,127400,220054,67692,5668,71290,34545,3,7/14/2017
117368040,1,12504,95,33,10,23,2,30,130370,441511,49355,6368,0,52952,7,7/14/2017
117368040,0,12990,80,7,2,5,10,7,88370,380953,91100,29915,36594,34818,3,7/14/2017
117363464,1,11345,115,85,26,59,36,24,215112,431721,0,32328,98954,77115,7,7/14/2017
117363464,0,11614,110,122,35,87,27,58,177747,345472,0,64984,113293,74737,14,7/14/2017
118487460,1,8104,105,78,27,51,16,44,156970,309569,30968,40586,0,62025,8,7/14/2017
118487460,0,9312,100,46,16,30,28,15,152090,276169,37477,15432,56136,52029,3,7/14/2017
119552044,1,10761,110,100,26,74,10,55,201570,423082,24900,51969,119499,66697,6,7/14/2017
119552044,0,10639,100,35,10,25,26,22,163509,338763,13994,41293,82848,50866,7,7/14/2017
117367456,1,9966,110,124,38,86,17,80,251569,414045,25730,44156,74463,78025,4,7/14/2017
117367456,0,10022,105,54,16,38,38,19,140834,309215,39181,47872,146369,57605,5,7/14/2017
117394328,1,10850,115,121,37,84,27,48,231756,347599,103150,22333,0,79190,16,7/14/2017
117394328,0,10123,110,99,27,72,37,33,252841,323779,86671,63686,0,74196,6,7/14/2017
119145291,1,8414,110,81,27,54,18,53,177169,378575,26045,27799,124346,70360,1,7/14/2017
119145291,0,8710,100,53,18,35,27,18,209400,302671,20593,44215,66057,57383,0,7/14/2017
117384668,1,10787,105,80,20,60,19,53,271725,187443,111462,37662,82564,60815,16,7/14/2017
117384668,0,10493,95,54,19,35,20,35,215256,155619,126376,79736,161344,45382,14,7/14/2017
